t,mid_high,mid_low,mid_close,bid_open,ask_open
2021-01-18 13:00:00+08:00,1.35655,1.3563749999999999,1.35653,1.35635,1.35645
2021-01-18 13:05:00+08:00,1.35655,1.35621,1.356335,1.35647,1.3566
2021-01-18 13:10:00+08:00,1.35651,1.3563100000000001,1.356485,1.3563,1.35641
2021-01-18 13:15:00+08:00,1.3564850000000002,1.35626,1.3562850000000002,1.35643,1.35653
2021-01-18 13:20:00+08:00,1.356295,1.35608,1.356185,1.35623,1.35633
2021-01-18 13:25:00+08:00,1.3565900000000002,1.35617,1.356355,1.35614,1.35624
2021-01-18 13:30:00+08:00,1.3564850000000002,1.3563,1.356465,1.35631,1.35642
2021-01-18 13:35:00+08:00,1.3568799999999999,1.3564150000000001,1.35684,1.35642,1.35652
2021-01-18 13:40:00+08:00,1.3569049999999998,1.35669,1.35678,1.35682,1.35689
2021-01-18 13:45:00+08:00,1.356855,1.3565450000000001,1.3568500000000001,1.35673,1.35682
2021-01-18 13:50:00+08:00,1.3569900000000001,1.356795,1.356965,1.35678,1.35691
2021-01-18 13:55:00+08:00,1.3572199999999999,1.3569749999999998,1.3572,1.35692,1.35703
2021-01-18 14:00:00+08:00,1.35737,1.35689,1.35707,1.35716,1.35725
2021-01-18 14:05:00+08:00,1.3570950000000002,1.356665,1.35678,1.35701,1.35714
2021-01-18 14:10:00+08:00,1.357015,1.3566850000000001,1.3567300000000002,1.35671,1.35684
2021-01-18 14:15:00+08:00,1.3569849999999999,1.3566850000000001,1.35696,1.35667,1.3568
2021-01-18 14:20:00+08:00,1.35698,1.35662,1.3566349999999998,1.35689,1.35695
2021-01-18 14:25:00+08:00,1.3569900000000001,1.3566349999999998,1.356845,1.35659,1.35669
2021-01-18 14:30:00+08:00,1.35698,1.35683,1.3568500000000001,1.3568,1.3569
2021-01-18 14:35:00+08:00,1.356865,1.356395,1.35643,1.35679,1.35692
2021-01-18 14:40:00+08:00,1.356595,1.35644,1.3565749999999999,1.35639,1.35649
2021-01-18 14:45:00+08:00,1.3565800000000001,1.3563749999999999,1.35657,1.3565,1.35661
2021-01-18 14:50:00+08:00,1.3566799999999999,1.35642,1.3566449999999999,1.35653,1.35662
2021-01-18 14:55:00+08:00,1.35686,1.356585,1.356715,1.35658,1.3567
2021-01-18 15:00:00+08:00,1.35703,1.35643,1.3569849999999999,1.35665,1.35675
2021-01-18 15:05:00+08:00,1.3569849999999999,1.356175,1.35648,1.35692,1.35704
2021-01-18 15:10:00+08:00,1.3568850000000001,1.3562949999999998,1.3565800000000001,1.35641,1.35654
2021-01-18 15:15:00+08:00,1.3568850000000001,1.3564850000000002,1.3568799999999999,1.35653,1.35664
2021-01-18 15:20:00+08:00,1.3568850000000001,1.356455,1.35646,1.35681,1.35693
2021-01-18 15:25:00+08:00,1.3564500000000002,1.3558599999999998,1.35595,1.35639,1.35651
2021-01-18 15:30:00+08:00,1.3560699999999999,1.3552,1.3552650000000002,1.3559,1.35602
2021-01-18 15:35:00+08:00,1.355715,1.355175,1.35537,1.35521,1.35533
