t,mid_high,mid_low,mid_close,bid_open,ask_open
2021-01-04 14:30:00+08:00,140.9265,140.894,140.91649999999998,140.888,140.906
2021-01-04 14:35:00+08:00,140.94650000000001,140.90300000000002,140.9365,140.907,140.926
2021-01-04 14:40:00+08:00,140.96699999999998,140.9315,140.9395,140.927,140.946
2021-01-04 14:45:00+08:00,140.9505,140.916,140.91899999999998,140.93,140.949
2021-01-04 14:50:00+08:00,140.954,140.90699999999998,140.9455,140.909,140.93
2021-01-04 14:55:00+08:00,140.959,140.9345,140.94799999999998,140.934,140.954
2021-01-04 15:00:00+08:00,141.016,140.9425,140.9905,140.936,140.951
2021-01-04 15:05:00+08:00,141.0105,140.969,140.986,140.982,140.998
2021-01-04 15:10:00+08:00,141.038,140.97899999999998,141.029,140.977,140.994
2021-01-04 15:15:00+08:00,141.0725,141.024,141.03300000000002,141.022,141.04
2021-01-04 15:20:00+08:00,141.03050000000002,140.9605,140.9975,141.024,141.035
2021-01-04 15:25:00+08:00,140.998,140.963,140.9845,140.987,141.004
2021-01-04 15:30:00+08:00,141.0055,140.959,141.0045,140.974,140.992
2021-01-04 15:35:00+08:00,141.04500000000002,140.917,140.937,140.996,141.012
2021-01-04 15:40:00+08:00,140.953,140.889,140.949,140.928,140.946
2021-01-04 15:45:00+08:00,140.9785,140.89499999999998,140.9005,140.946,140.956
2021-01-04 15:50:00+08:00,140.9205,140.753,140.7815,140.895,140.909
2021-01-04 15:55:00+08:00,140.8745,140.776,140.86399999999998,140.771,140.792
2021-01-04 16:00:00+08:00,140.9325,140.791,140.8775,140.858,140.876
2021-01-04 16:05:00+08:00,140.925,140.776,140.816,140.87,140.886
2021-01-04 16:10:00+08:00,140.8725,140.734,140.748,140.809,140.822
2021-01-04 16:15:00+08:00,140.78300000000002,140.7135,140.7545,140.741,140.756
2021-01-04 16:20:00+08:00,140.753,140.6375,140.6855,140.746,140.76
