t,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2021-02-02 16:20:00+08:00,1.37004,1.37017,1.36928,1.36986,1.37011,1.37024,1.36939,1.36995
2021-02-02 16:25:00+08:00,1.36987,1.36995,1.36917,1.36938,1.36996,1.37003,1.36928,1.36948
2021-02-02 16:30:00+08:00,1.36942,1.37033,1.3694,1.37007,1.36949,1.37041,1.36949,1.37016
2021-02-02 16:35:00+08:00,1.37006,1.37015,1.36958,1.37,1.37014,1.37024,1.36966,1.37012
2021-02-02 16:40:00+08:00,1.37,1.37039,1.36945,1.36958,1.37008,1.37047,1.36955,1.36969
2021-02-02 16:45:00+08:00,1.3696,1.36996,1.3693,1.36959,1.36968,1.37005,1.36937,1.36967
2021-02-02 16:50:00+08:00,1.3696,1.36982,1.36906,1.36919,1.36967,1.3699,1.36915,1.36929
2021-02-02 16:55:00+08:00,1.36919,1.37024,1.36914,1.37017,1.36928,1.3703,1.36924,1.37027
2021-02-02 18:00:00+08:00,1.36871,1.36891,1.36844,1.36885,1.36879,1.369,1.36853,1.36893
2021-02-02 18:05:00+08:00,1.36885,1.36935,1.36849,1.36923,1.36893,1.36942,1.36857,1.36934
2021-02-02 18:10:00+08:00,1.36925,1.36929,1.36888,1.36891,1.36935,1.36936,1.36898,1.36901
